,Time (s),Ion Gauge (mBar),Pirani 1 (mBar),Pirani 2 (mBar),Active Gauge (NA),Temperature (C)
0,0.0,7.500000000000001e-05,1000.0,1000.0,NA,1023
1,9.345763444900513,7.400000000000001e-05,1000.0,1000.0,NA,1023
2,39.596171140670776,7.2e-05,1000.0,1000.0,NA,1024
3,69.68882703781128,7.2e-05,1000.0,1000.0,NA,1023
4,99.62766408920288,7.2e-05,1000.0,1000.0,NA,1023
5,129.6781520843506,7.2e-05,1000.0,1000.0,NA,1024
6,159.6167242527008,7.1e-05,1000.0,1000.0,NA,1025
7,189.6489987373352,7.1e-05,1000.0,1000.0,NA,1024
8,219.6764853000641,7.000000000000001e-05,1000.0,1000.0,NA,1023
9,249.6520791053772,7.000000000000001e-05,1000.0,1000.0,NA,1024
10,279.6662902832031,6.900000000000001e-05,1000.0,1000.0,NA,1023
11,309.77063727378845,6.900000000000001e-05,1000.0,1000.0,NA,1022
12,339.6863510608673,6.8e-05,1000.0,1000.0,NA,1024
13,369.7088260650635,6.8e-05,1000.0,1000.0,NA,1023
14,399.7042808532715,6.8e-05,1000.0,1000.0,NA,1025
15,429.7177402973175,6.8e-05,1000.0,1000.0,NA,1023
16,459.7266812324524,6.7e-05,1000.0,1000.0,NA,1024
17,489.7162444591522,6.7e-05,1000.0,1000.0,NA,1023
18,519.6944537162781,6.7e-05,1000.0,1000.0,NA,1025
19,549.6586229801178,6.6e-05,1000.0,1000.0,NA,1023
20,579.7146925926208,6.6e-05,1000.0,1000.0,NA,1024
21,609.7796730995178,6.500000000000001e-05,1000.0,1000.0,NA,1024
22,639.8048264980316,6.500000000000001e-05,1000.0,1000.0,NA,1024
23,669.7547557353973,6.500000000000001e-05,1000.0,1000.0,NA,1024
24,699.7601718902588,6.400000000000001e-05,1000.0,1000.0,NA,1023
25,729.7089762687683,6.400000000000001e-05,1000.0,1000.0,NA,1023
26,759.7690086364746,6.3e-05,1000.0,1000.0,NA,1024
27,789.7306578159332,6.3e-05,1000.0,1000.0,NA,1023
28,819.7675211429596,6.3e-05,1000.0,1000.0,NA,1023
29,849.713093996048,6.2e-05,1000.0,1000.0,NA,1023
30,879.8193626403809,6.2e-05,1000.0,1000.0,NA,1024
31,909.8611941337585,6.1e-05,1000.0,1000.0,NA,1023
32,939.8145010471344,6.1e-05,1000.0,1000.0,NA,1023
33,969.8388829231262,6.000000000000001e-05,1000.0,1000.0,NA,1023
34,999.81396651268,6.000000000000001e-05,1000.0,1000.0,NA,1023
35,1029.7962679862976,5.900000000000001e-05,1000.0,1000.0,NA,1024
36,1059.7721383571625,5.900000000000001e-05,1000.0,1000.0,NA,1024
37,1089.7986166477203,5.8e-05,1000.0,1000.0,NA,1024
38,1119.7598457336426,5.8e-05,1000.0,1000.0,NA,1023
39,1149.7864184379578,5.8e-05,1000.0,1000.0,NA,1024
40,1179.8666031360626,5.7e-05,1000.0,1000.0,NA,1024
41,1209.7616121768951,5.7e-05,1000.0,1000.0,NA,1023
42,1239.8551716804504,5.7e-05,1000.0,1000.0,NA,1023
43,1269.8340075016022,5.6e-05,1000.0,1000.0,NA,1024
44,1299.8597967624664,5.6e-05,1000.0,1000.0,NA,1024
45,1329.8215508460999,5.6e-05,1000.0,1000.0,NA,1023
46,1359.7916872501373,5.6e-05,1000.0,1000.0,NA,1024
47,1389.8103303909302,5.6e-05,1000.0,1000.0,NA,1023
48,1419.7722551822662,5.5e-05,1000.0,1000.0,NA,1024
49,1449.8226222991943,5.5e-05,1000.0,1000.0,NA,1023
50,1479.7883489131927,5.4000000000000005e-05,1000.0,1000.0,NA,1024
51,1509.8322341442108,5.4000000000000005e-05,1000.0,1000.0,NA,1024
52,1539.79332280159,5.3e-05,1000.0,1000.0,NA,1023
53,1569.803740978241,5.3e-05,1000.0,1000.0,NA,1023
54,1599.898498058319,5.2000000000000004e-05,1000.0,1000.0,NA,1024
55,1629.878499507904,5.2000000000000004e-05,1000.0,1000.0,NA,1023
56,1659.8674728870392,5.2000000000000004e-05,1000.0,1000.0,NA,1023
57,1689.8505609035492,5.2000000000000004e-05,1000.0,1000.0,NA,1024
58,1719.8723559379578,5.1e-05,1000.0,1000.0,NA,1024
59,1749.840636253357,5.1e-05,1000.0,1000.0,NA,1023
60,1779.7976927757263,5.1e-05,1000.0,1000.0,NA,1024
61,1809.8693249225616,5e-05,1000.0,1000.0,NA,1024
62,1839.8379173278809,5e-05,1000.0,1000.0,NA,1024
63,1869.7956535816193,5e-05,1000.0,1000.0,NA,1024
64,1899.8190047740936,5e-05,1000.0,1000.0,NA,1024
65,1929.7993748188019,4.9000000000000005e-05,1000.0,1000.0,NA,1023
66,1959.9105212688446,4.9000000000000005e-05,1000.0,1000.0,NA,1023
67,1989.8700742721558,4.9000000000000005e-05,1000.0,1000.0,NA,1023
68,2019.875769853592,4.8e-05,1000.0,1000.0,NA,1023
69,2049.8604986667633,4.8e-05,1000.0,1000.0,NA,1024
70,2079.8286521434784,4.8e-05,1000.0,1000.0,NA,1023
71,2109.8587765693665,4.7000000000000004e-05,1000.0,1000.0,NA,1024
72,2139.818069934845,4.7000000000000004e-05,1000.0,1000.0,NA,1024
73,2169.895667076111,4.7000000000000004e-05,1000.0,1000.0,NA,1024
74,2199.954132080078,4.6e-05,1000.0,1000.0,NA,1023
75,2229.847893476486,4.6e-05,1000.0,1000.0,NA,1024
76,2259.8906042575836,4.6e-05,1000.0,1000.0,NA,1024
77,2289.9182739257812,4.6e-05,1000.0,1000.0,NA,1024
78,2319.874659538269,4.5e-05,1000.0,1000.0,NA,1023
79,2349.890418291092,4.5e-05,1000.0,1000.0,NA,1023
